Datetime,Year,Month,Day,Hour,Minute,Week,Day of week,Steps
2025-10-06 19:52:06,2025,10,6,19,52,41,Monday,57
2025-10-06 19:53:00,2025,10,6,19,53,41,Monday,9
2025-10-06 19:54:00,2025,10,6,19,54,41,Monday,36
2025-10-06 19:59:06,2025,10,6,19,59,41,Monday,16
2025-10-06 20:39:01,2025,10,6,20,39,41,Monday,11
2025-10-06 22:26:01,2025,10,6,22,26,41,Monday,12
2025-10-06 22:27:25,2025,10,6,22,27,41,Monday,33
2025-10-06 23:00:23,2025,10,6,23,0,41,Monday,121
2025-10-06 23:04:25,2025,10,6,23,4,41,Monday,72
2025-10-06 23:05:21,2025,10,6,23,5,41,Monday,63
2025-10-06 23:06:49,2025,10,6,23,6,41,Monday,31
2025-10-06 23:07:08,2025,10,6,23,7,41,Monday,26
2025-10-06 23:07:46,2025,10,6,23,7,41,Monday,12
2025-10-06 23:08:19,2025,10,6,23,8,41,Monday,13
2025-10-06 23:09:09,2025,10,6,23,9,41,Monday,68
2025-10-06 23:11:25,2025,10,6,23,11,41,Monday,83
2025-10-06 23:12:24,2025,10,6,23,12,41,Monday,92
2025-10-06 23:13:35,2025,10,6,23,13,41,Monday,35
2025-10-06 23:14:30,2025,10,6,23,14,41,Monday,65
2025-10-06 23:15:40,2025,10,6,23,15,41,Monday,88
2025-10-06 23:16:42,2025,10,6,23,16,41,Monday,47
2025-10-06 23:17:41,2025,10,6,23,17,41,Monday,42
2025-10-06 23:18:19,2025,10,6,23,18,41,Monday,112
2025-10-06 23:21:34,2025,10,6,23,21,41,Monday,51
2025-10-06 23:51:36,2025,10,6,23,51,41,Monday,15
2025-10-07 00:08:11,2025,10,7,0,8,41,Tuesday,15
2025-10-07 00:09:11,2025,10,7,0,9,41,Tuesday,28
2025-10-07 08:02:39,2025,10,7,8,2,41,Tuesday,6
2025-10-07 08:14:29,2025,10,7,8,14,41,Tuesday,8
2025-10-07 09:00:45,2025,10,7,9,0,41,Tuesday,75
2025-10-07 09:02:51,2025,10,7,9,2,41,Tuesday,44
2025-10-07 09:43:34,2025,10,7,9,43,41,Tuesday,8
2025-10-07 09:43:52,2025,10,7,9,43,41,Tuesday,42
2025-10-07 09:46:21,2025,10,7,9,46,41,Tuesday,17
2025-10-07 09:47:21,2025,10,7,9,47,41,Tuesday,46
2025-10-07 10:15:58,2025,10,7,10,15,41,Tuesday,5
2025-10-07 10:36:35,2025,10,7,10,36,41,Tuesday,38
2025-10-07 10:37:51,2025,10,7,10,37,41,Tuesday,70
2025-10-07 10:39:58,2025,10,7,10,39,41,Tuesday,23
2025-10-07 10:48:15,2025,10,7,10,48,41,Tuesday,11
2025-10-07 10:49:15,2025,10,7,10,49,41,Tuesday,7
2025-10-07 10:51:03,2025,10,7,10,51,41,Tuesday,9
2025-10-07 10:52:22,2025,10,7,10,52,41,Tuesday,22
2025-10-07 10:53:22,2025,10,7,10,53,41,Tuesday,17
2025-10-07 10:53:56,2025,10,7,10,53,41,Tuesday,13
2025-10-07 10:56:35,2025,10,7,10,56,41,Tuesday,29
2025-10-07 10:57:35,2025,10,7,10,57,41,Tuesday,44
2025-10-07 10:59:33,2025,10,7,10,59,41,Tuesday,11
2025-10-07 11:00:45,2025,10,7,11,0,41,Tuesday,6
2025-10-07 11:00:59,2025,10,7,11,0,41,Tuesday,51
2025-10-07 11:04:25,2025,10,7,11,4,41,Tuesday,15
2025-10-07 11:05:25,2025,10,7,11,5,41,Tuesday,19
2025-10-07 11:05:40,2025,10,7,11,5,41,Tuesday,5
2025-10-07 11:06:08,2025,10,7,11,6,41,Tuesday,32
2025-10-07 11:06:33,2025,10,7,11,6,41,Tuesday,57
2025-10-07 11:07:22,2025,10,7,11,7,41,Tuesday,35
2025-10-07 11:08:32,2025,10,7,11,8,41,Tuesday,5
2025-10-07 12:59:04,2025,10,7,12,59,41,Tuesday,6
2025-10-07 13:14:54,2025,10,7,13,14,41,Tuesday,48
2025-10-07 13:16:30,2025,10,7,13,16,41,Tuesday,36
2025-10-07 13:42:10,2025,10,7,13,42,41,Tuesday,48
2025-10-07 13:44:45,2025,10,7,13,44,41,Tuesday,8
2025-10-07 14:05:56,2025,10,7,14,5,41,Tuesday,46
2025-10-07 14:07:29,2025,10,7,14,7,41,Tuesday,72
2025-10-07 14:09:02,2025,10,7,14,9,41,Tuesday,41
2025-10-07 14:10:24,2025,10,7,14,10,41,Tuesday,56
2025-10-07 14:10:57,2025,10,7,14,10,41,Tuesday,94
2025-10-07 14:11:59,2025,10,7,14,11,41,Tuesday,96
2025-10-07 14:13:00,2025,10,7,14,13,41,Tuesday,98
2025-10-07 14:14:02,2025,10,7,14,14,41,Tuesday,16
2025-10-07 14:14:13,2025,10,7,14,14,41,Tuesday,105
2025-10-07 14:15:17,2025,10,7,14,15,41,Tuesday,157
2025-10-07 14:16:55,2025,10,7,14,16,41,Tuesday,41
2025-10-07 14:17:19,2025,10,7,14,17,41,Tuesday,74
2025-10-07 14:18:04,2025,10,7,14,18,41,Tuesday,89
2025-10-07 14:19:01,2025,10,7,14,19,41,Tuesday,67
2025-10-07 14:19:44,2025,10,7,14,19,41,Tuesday,79
2025-10-07 14:20:35,2025,10,7,14,20,41,Tuesday,46
2025-10-07 14:22:47,2025,10,7,14,22,41,Tuesday,50
2025-10-07 14:24:27,2025,10,7,14,24,41,Tuesday,5
2025-10-07 14:25:45,2025,10,7,14,25,41,Tuesday,6
2025-10-07 14:27:52,2025,10,7,14,27,41,Tuesday,9
2025-10-07 15:22:04,2025,10,7,15,22,41,Tuesday,30
2025-10-07 15:23:04,2025,10,7,15,23,41,Tuesday,24
2025-10-07 16:56:01,2025,10,7,16,56,41,Tuesday,38
2025-10-07 16:57:58,2025,10,7,16,57,41,Tuesday,14
2025-10-07 16:58:58,2025,10,7,16,58,41,Tuesday,26
2025-10-07 17:21:26,2025,10,7,17,21,41,Tuesday,32
2025-10-07 17:23:20,2025,10,7,17,23,41,Tuesday,40
2025-10-07 17:24:40,2025,10,7,17,24,41,Tuesday,52
2025-10-07 17:25:19,2025,10,7,17,25,41,Tuesday,24
2025-10-07 18:55:13,2025,10,7,18,55,41,Tuesday,38
2025-10-07 18:56:48,2025,10,7,18,56,41,Tuesday,60
2025-10-07 18:58:48,2025,10,7,18,58,41,Tuesday,6
2025-10-07 18:58:52,2025,10,7,18,58,41,Tuesday,72
2025-10-07 19:54:16,2025,10,7,19,54,41,Tuesday,8
2025-10-07 19:54:21,2025,10,7,19,54,41,Tuesday,44
2025-10-07 19:54:48,2025,10,7,19,54,41,Tuesday,36
2025-10-07 19:55:12,2025,10,7,19,55,41,Tuesday,25
2025-10-07 19:55:27,2025,10,7,19,55,41,Tuesday,16
2025-10-07 19:56:20,2025,10,7,19,56,41,Tuesday,19
2025-10-07 20:35:13,2025,10,7,20,35,41,Tuesday,17
2025-10-07 20:38:07,2025,10,7,20,38,41,Tuesday,10
2025-10-07 20:39:38,2025,10,7,20,39,41,Tuesday,8
2025-10-07 20:40:38,2025,10,7,20,40,41,Tuesday,35
2025-10-07 20:41:42,2025,10,7,20,41,41,Tuesday,14
2025-10-07 20:41:51,2025,10,7,20,41,41,Tuesday,11
2025-10-07 20:42:42,2025,10,7,20,42,41,Tuesday,12
2025-10-07 20:42:49,2025,10,7,20,42,41,Tuesday,100
2025-10-07 20:43:53,2025,10,7,20,43,41,Tuesday,21
2025-10-07 20:44:33,2025,10,7,20,44,41,Tuesday,5
2025-10-07 20:45:33,2025,10,7,20,45,41,Tuesday,27
2025-10-07 20:46:00,2025,10,7,20,46,41,Tuesday,9
2025-10-07 20:47:38,2025,10,7,20,47,41,Tuesday,10
2025-10-07 20:50:23,2025,10,7,20,50,41,Tuesday,7
2025-10-07 20:53:46,2025,10,7,20,53,41,Tuesday,7
2025-10-07 20:58:19,2025,10,7,20,58,41,Tuesday,46
2025-10-07 20:59:51,2025,10,7,20,59,41,Tuesday,9
2025-10-07 21:02:56,2025,10,7,21,2,41,Tuesday,32
2025-10-07 21:05:50,2025,10,7,21,5,41,Tuesday,81
2025-10-07 21:10:28,2025,10,7,21,10,41,Tuesday,42
2025-10-07 21:11:53,2025,10,7,21,11,41,Tuesday,8
2025-10-07 21:14:01,2025,10,7,21,14,41,Tuesday,12
2025-10-07 21:24:59,2025,10,7,21,24,41,Tuesday,84
2025-10-07 21:30:55,2025,10,7,21,30,41,Tuesday,68
2025-10-07 21:34:43,2025,10,7,21,34,41,Tuesday,33
2025-10-07 21:46:09,2025,10,7,21,46,41,Tuesday,121
2025-10-07 21:59:22,2025,10,7,21,59,41,Tuesday,37
2025-10-07 22:00:36,2025,10,7,22,0,41,Tuesday,87
2025-10-07 22:01:40,2025,10,7,22,1,41,Tuesday,22
2025-10-07 22:01:54,2025,10,7,22,1,41,Tuesday,69
2025-10-07 22:02:39,2025,10,7,22,2,41,Tuesday,18
2025-10-07 22:04:13,2025,10,7,22,4,41,Tuesday,21
2025-10-07 22:05:13,2025,10,7,22,5,41,Tuesday,14
2025-10-07 22:05:27,2025,10,7,22,5,41,Tuesday,20
2025-10-07 22:05:45,2025,10,7,22,5,41,Tuesday,17
2025-10-07 22:07:19,2025,10,7,22,7,41,Tuesday,28
2025-10-07 22:38:47,2025,10,7,22,38,41,Tuesday,38
